,controller config,fot safety,fot comfort,fot mean comfort,GAIL_nondet_ppo best_loss safety,GAIL_nondet_ppo best_loss comfort,GAIL_nondet_ppo best_loss mean comfort,GAIL_nondet_ppo best_eucl safety,GAIL_nondet_ppo best_eucl comfort,GAIL_nondet_ppo best_eucl mean comfort,GAIL_nondet_ppo best_dtw safety,GAIL_nondet_ppo best_dtw comfort,GAIL_nondet_ppo best_dtw mean comfort
33,40.0,0.8275861740112305,0.9195401668548584,0.18628618121147156,1.4393013715744019,6.247846603393555,1.9019979238510132,0.4921586215496063,0.4977719783782959,0.16821011900901794,0.5730975866317749,0.5103324055671692,0.209340900182724
34,40.0,0.9425287246704102,1.1494252681732178,0.1823226362466812,1.3935773372650146,6.805899143218994,2.0897340774536133,0.5144232511520386,0.4887951612472534,0.16056007146835327,0.5694938898086548,0.5192962288856506,0.21040107309818268
35,40.0,0.9655172824859619,0.8275861740112305,0.1976483017206192,1.1703250408172607,4.4041852951049805,1.3876838684082031,0.5145024061203003,0.4572661221027374,0.15969423949718475,0.5967799425125122,0.5048627853393555,0.20386134088039398
36,40.0,0.7816091775894165,0.7126436233520508,0.17598097026348114,1.1838935613632202,5.058979034423828,1.574858546257019,0.4962078630924225,0.49186187982559204,0.15327505767345428,0.5894266366958618,0.5282492637634277,0.20709171891212463
37,40.0,0.7586207389831543,0.5517240762710571,0.12868277728557587,1.2128077745437622,5.913199424743652,1.6513965129852295,0.49392011761665344,0.5002502202987671,0.1630381941795349,0.5802936553955078,0.507536768913269,0.20815855264663696
38,40.0,0.7816091775894165,0.9425287246704102,0.20398996770381927,1.7354422807693481,7.00371789932251,1.9701006412506104,0.5067567825317383,0.5040662288665771,0.1619482785463333,0.5740823745727539,0.583844780921936,0.2136240303516388
39,40.0,0.9425287246704102,1.218390941619873,0.25260934233665466,1.1667224168777466,6.312122821807861,2.0712294578552246,0.5265285968780518,0.5473074913024902,0.16596351563930511,0.5720585584640503,0.5008607506752014,0.20929843187332153
40,50.0,0.8275861740112305,0.9425287246704102,0.1640903651714325,1.1224513053894043,6.121439456939697,1.8703820705413818,0.5548583269119263,0.5554103851318359,0.1965322345495224,0.6272921562194824,0.5607843399047852,0.246998593211174
41,50.0,0.9425287246704102,1.1494252681732178,0.20240454375743866,1.5443412065505981,6.604365825653076,1.7975810766220093,0.5626441240310669,0.5514190793037415,0.154867485165596,0.629179835319519,0.5603736042976379,0.23873870074748993
42,50.0,0.8505747318267822,1.1264368295669556,0.20372571051120758,1.2935760021209717,6.357621192932129,1.443476915359497,0.5584895610809326,0.5424376726150513,0.17412619292736053,0.6270838975906372,0.6012774109840393,0.2542952597141266
43,50.0,0.9655172824859619,1.3793103694915771,0.25974369049072266,1.3622549772262573,5.922194480895996,1.4475644826889038,0.5676828622817993,0.5717864036560059,0.17110653221607208,0.6541750431060791,0.5557003021240234,0.24262459576129913
44,50.0,0.8965517282485962,1.0574710369110107,0.24124717712402344,1.4847928285598755,6.557873725891113,1.6319173574447632,0.5611709356307983,0.5681139826774597,0.19065964221954346,0.6273192167282104,0.573878288269043,0.24456804990768433
45,50.0,1.034482717514038,1.1034483909606934,0.22037255764007568,1.62247633934021,7.966838836669922,1.6625016927719116,0.5553536415100098,0.5548330545425415,0.20821161568164825,0.6274998188018799,0.5598956942558289,0.23943015933036804
46,50.0,0.9885057210922241,1.0574712753295898,0.24494649469852448,1.5653393268585205,6.227573871612549,1.8544121980667114,0.5705783367156982,0.5760219097137451,0.1743331104516983,0.6510711908340454,0.5584758520126343,0.23911263048648834
47,50.0,0.8735631704330444,0.919540286064148,0.17677368223667145,1.1403734683990479,5.299544334411621,1.4890706539154053,0.5622156858444214,0.5686876773834229,0.18465694785118103,0.628000020980835,0.6500154733657837,0.25411781668663025
48,50.0,0.8275861740112305,0.7356322407722473,0.17915180325508118,1.2186590433120728,5.71991491317749,1.8058489561080933,0.556451678276062,0.6301310062408447,0.172345370054245,0.6303375959396362,0.5710082650184631,0.24518409371376038
49,50.0,0.8505747318267822,1.4482758045196533,0.23305585980415344,1.1864502429962158,7.2218828201293945,2.294562816619873,0.5592751502990723,0.5340999960899353,0.1631680130958557,0.630821704864502,0.5606502294540405,0.2358338087797165
50,10.0,0.3218390643596649,0.34482765197753906,0.09486061334609985,1.2063978910446167,4.152235507965088,1.705596685409546,0.26794710755348206,0.3760032057762146,0.13799014687538147,0.27089694142341614,0.2627340853214264,0.09122998267412186
51,10.0,0.27586206793785095,0.5977011919021606,0.11705642193555832,1.4456104040145874,5.465192794799805,1.3907463550567627,0.2882407009601593,0.41529178619384766,0.10978652536869049,0.287725567817688,0.3098810017108917,0.0933835506439209
52,10.0,0.41379308700561523,0.5287356376647949,0.11705642193555832,1.4907680749893188,6.470286846160889,1.899260401725769,0.24864280223846436,0.4707854986190796,0.13681954145431519,0.27536246180534363,0.25679677724838257,0.0810089185833931
53,10.0,0.3218390643596649,0.36781609058380127,0.08429118990898132,1.4267555475234985,5.799140930175781,2.049506187438965,0.23748503625392914,0.3786528706550598,0.13098864257335663,0.27736419439315796,0.3416489362716675,0.10654844343662262
54,10.0,0.39080461859703064,0.36781615018844604,0.11890606582164764,1.401930809020996,6.441816329956055,2.020803213119507,0.2836567759513855,0.38520002365112305,0.12007768452167511,0.26048606634140015,0.33643805980682373,0.08863452076911926
55,10.0,0.3218390941619873,0.6436781883239746,0.11732064932584763,1.457328200340271,7.352603912353516,1.8244926929473877,0.2160538285970688,0.36293309926986694,0.10847463458776474,0.2774326205253601,0.39778342843055725,0.10623510926961899
56,10.0,0.39080461859703064,0.39080455899238586,0.1075439304113388,1.2518121004104614,5.150742053985596,1.764954686164856,0.20880405604839325,0.3976016938686371,0.12857982516288757,0.2704676687717438,0.3068349063396454,0.1009087935090065
57,10.0,0.3218390941619873,0.2988505959510803,0.08323424309492111,1.355887770652771,4.889998435974121,1.638479471206665,0.23963692784309387,0.44397515058517456,0.1362941414117813,0.2849348783493042,0.4193407893180847,0.10216888040304184
58,10.0,0.3448275923728943,0.5057470798492432,0.10648699104785919,1.4212595224380493,7.82217264175415,2.2644028663635254,0.2612089216709137,0.3691835403442383,0.12972910702228546,0.2885425090789795,0.3515835404396057,0.11008672416210175
59,10.0,0.3448275923728943,0.2758620083332062,0.08904743194580078,1.3655458688735962,4.73223876953125,1.797685146331787,0.2465367317199707,0.43695706129074097,0.13631212711334229,0.29154181480407715,0.3164418935775757,0.09487219154834747
60,20.0,0.7816091775894165,0.4597701132297516,0.14295153319835663,1.2885708808898926,5.863401412963867,1.8666516542434692,0.3453611433506012,0.5049461722373962,0.1573275625705719,0.39881816506385803,0.40086209774017334,0.13575629889965057
61,20.0,0.5057470798492432,0.5747126340866089,0.13555291295051575,1.4293054342269897,6.4343366622924805,1.7574892044067383,0.3491768538951874,0.41647735238075256,0.13831789791584015,0.3961547911167145,0.38997018337249756,0.1442057341337204
62,20.0,0.5287356376647949,0.5287356376647949,0.11996299773454666,1.5577834844589233,4.987210273742676,1.5564324855804443,0.3281210958957672,0.4106251895427704,0.1484890580177307,0.4044959247112274,0.3975023329257965,0.13526073098182678
