,controller config,fot safety,fot comfort,fot mean comfort,GAIL_det_ppo best_loss safety,GAIL_det_ppo best_loss comfort,GAIL_det_ppo best_loss mean comfort,GAIL_det_ppo best_loss euclidean,GAIL_det_ppo best_loss dtw,GAIL_det_ppo best_eucl safety,GAIL_det_ppo best_eucl comfort,GAIL_det_ppo best_eucl mean comfort,GAIL_det_ppo best_eucl euclidean,GAIL_det_ppo best_eucl dtw,GAIL_det_ppo best_dtw safety,GAIL_det_ppo best_dtw comfort,GAIL_det_ppo best_dtw mean comfort,GAIL_det_ppo best_dtw euclidean,GAIL_det_ppo best_dtw dtw
10,20.0,0.5287356376647949,0.3448275923728943,0.11414981633424759,0.40006572008132935,0.3816763758659363,0.0568062998354435,3.9117319583892822,-10.302566528320312,0.3172779679298401,0.31624528765678406,0.15861894190311432,2.556891918182373,-11.10761833190918,0.35448724031448364,0.3565967082977295,0.1469009667634964,3.8576736450195312,-10.435953140258789
11,20.0,0.5977011919021606,0.6436781883239746,0.12551195919513702,0.40537029504776,0.35203516483306885,0.13768650591373444,3.508988857269287,-9.592185974121094,0.3172779679298401,0.3165402412414551,0.15889647603034973,2.7806966304779053,-10.180697441101074,0.3546638786792755,0.35598045587539673,0.14389346539974213,3.503561019897461,-9.717726707458496
12,20.0,0.6206896305084229,0.3908046782016754,0.14427269995212555,0.4146793484687805,0.358863890171051,0.13803993165493011,3.973569631576538,-9.171152114868164,0.31870076060295105,0.31633460521698,0.16607147455215454,3.3326799869537354,-9.701973915100098,0.3723612129688263,0.35561442375183105,0.1461358666419983,3.998643398284912,-9.23263168334961
13,20.0,0.5747126340866089,0.7586207389831543,0.18443651497364044,0.4079209566116333,0.13579820096492767,0.04624684527516365,4.4239301681518555,-8.782041549682617,0.3172852396965027,0.31613877415657043,0.156923308968544,3.747384548187256,-8.890767097473145,0.3705361485481262,0.3555466830730438,0.13718004524707794,4.452895641326904,-8.752126693725586
14,20.0,0.5287356376647949,0.5977011919021606,0.1479720026254654,0.4144729971885681,0.3648947477340698,0.057934388518333435,4.122750759124756,-10.25599479675293,0.3172852396965027,0.31613877415657043,0.1586562842130661,2.9644243717193604,-10.811176300048828,0.354881227016449,0.356638103723526,0.14350001513957977,4.142621040344238,-10.462696075439453
15,20.0,0.6206896305084229,0.5517241954803467,0.1490289270877838,0.40540432929992676,0.3521178960800171,0.13569901883602142,4.262113571166992,-9.296123504638672,0.31737279891967773,0.32149550318717957,0.15800128877162933,3.214501142501831,-9.912734031677246,0.3544742465019226,0.35565975308418274,0.14305336773395538,4.229309558868408,-9.266719818115234
16,20.0,0.6896551847457886,0.45977020263671875,0.15140704810619354,0.4184713363647461,0.364432156085968,0.1395506113767624,4.524552822113037,-8.377342224121094,0.3172779679298401,0.31624528765678406,0.16266795992851257,4.041345119476318,-7.584118843078613,0.3547746539115906,0.355625182390213,0.142868772149086,4.505528926849365,-8.34335708618164
17,20.0,0.5977011919021606,0.41379308700561523,0.14083760976791382,0.4314517080783844,0.3849661946296692,0.14394566416740417,3.6701650619506836,-9.453611373901367,0.3196938633918762,0.31613877415657043,0.1634138971567154,3.2406821250915527,-9.360855102539062,0.3721250593662262,0.35561442375183105,0.14654724299907684,3.734055757522583,-9.398683547973633
18,20.0,0.7126436233520508,0.5517241358757019,0.16065530478954315,0.4185333251953125,0.36076992750167847,0.058516282588243484,3.474040985107422,-9.584283828735352,0.3172975182533264,0.3164348602294922,0.16630741953849792,3.487041473388672,-8.573827743530273,0.35467424988746643,0.35561442375183105,0.14468546211719513,3.561702251434326,-9.54068374633789
19,20.0,0.5977011919021606,0.6666666865348816,0.18470075726509094,0.41521403193473816,0.283003568649292,0.05329360440373421,3.734699249267578,-8.548213958740234,0.32207709550857544,0.31613877415657043,0.16217146813869476,3.7204458713531494,-9.12439250946045,0.3698621988296509,0.35549020767211914,0.1445971578359604,3.734822988510132,-8.530960083007812
20,30.0,0.6896551847457886,0.8965517282485962,0.18390804529190063,0.559475302696228,0.4115752875804901,0.1824941486120224,4.4845194816589355,-6.875609874725342,0.44462430477142334,0.44659093022346497,0.2050819993019104,4.091643810272217,-7.951822757720947,0.5117056369781494,0.3973085880279541,0.17820259928703308,4.633347511291504,-7.6731181144714355
21,30.0,0.8735631704330444,0.7126436233520508,0.17730215191841125,0.5449150800704956,0.4187232255935669,0.18600192666053772,4.929941654205322,-6.212934970855713,0.4445752501487732,0.44338634610176086,0.21012531220912933,4.830273628234863,-6.577771186828613,0.5055530071258545,0.3983023762702942,0.1694418489933014,5.487337112426758,-5.61124324798584
22,30.0,0.8045977354049683,0.5517241358757019,0.15299247205257416,0.5677099823951721,0.41165125370025635,0.19560404121875763,5.314959526062012,-6.823107719421387,0.44456544518470764,0.44348421692848206,0.20804210007190704,6.049886703491211,-6.787545680999756,0.5212401747703552,0.3972007632255554,0.18058037757873535,3.8352060317993164,-7.9188995361328125
23,30.0,0.7816091775894165,0.6206896305084229,0.16065531969070435,0.5453017950057983,0.4394621253013611,0.1965159773826599,6.795107841491699,-7.741011619567871,0.44460710883140564,0.4434371292591095,0.212974414229393,4.3884406089782715,-7.313005447387695,0.5070254802703857,0.4006459414958954,0.1804233342409134,4.693428039550781,-8.914427757263184
24,30.0,0.7126436233520508,0.5977010726928711,0.16250495612621307,0.5590581893920898,0.41167423129081726,0.183108389377594,6.398441314697266,-9.055585861206055,0.44457319378852844,0.44508010149002075,0.20433422923088074,4.663815498352051,-6.861351490020752,0.505695104598999,0.3973020613193512,0.17752254009246826,4.778311729431152,-9.142928123474121
25,30.0,0.7356321811676025,0.6436781883239746,0.14347997307777405,0.5517877340316772,0.4115752875804901,0.1896451711654663,5.05418586730957,-8.375321388244629,0.44453561305999756,0.4436776638031006,0.20672090351581573,4.298708915710449,-5.9382524490356445,0.5329474210739136,0.33950215578079224,0.08297327160835266,3.6296298503875732,-9.615120887756348
26,30.0,0.7816091775894165,0.6666666269302368,0.14612235128879547,0.5491006374359131,0.4116663634777069,0.1964210867881775,5.4024481773376465,-8.615352630615234,0.44454342126846313,0.44328898191452026,0.20630241930484772,3.522430658340454,-8.658971786499023,0.5096290111541748,0.3973068296909332,0.17959418892860413,3.508131742477417,-8.5619535446167
27,30.0,0.7356321811676025,0.48275864124298096,0.14215880632400513,0.5584012269973755,0.41159793734550476,0.18129761517047882,4.78844690322876,-6.191981315612793,0.44456908106803894,0.4435439705848694,0.20975305140018463,4.9986724853515625,-7.5428972244262695,0.5076279640197754,0.39718401432037354,0.17937535047531128,5.441694259643555,-8.440800666809082
28,30.0,0.6896551847457886,0.4597700834274292,0.14295151829719543,0.5449060797691345,0.41158026456832886,0.1968976855278015,5.393887519836426,-6.376350402832031,0.44456151127815247,0.4433385729789734,0.20813557505607605,4.948547840118408,-7.259875297546387,0.5124459266662598,0.19737644493579865,0.07408440858125687,5.4328083992004395,-6.599156856536865
29,30.0,0.8735631704330444,0.8505746126174927,0.17915180325508118,0.5449095368385315,0.43901389837265015,0.194732204079628,5.752418518066406,-3.3758115768432617,0.4445495903491974,0.4433486759662628,0.20839078724384308,6.629397869110107,-3.2830638885498047,0.50550377368927,0.3973294496536255,0.17833276093006134,5.549854755401611,-4.8652191162109375
30,40.0,0.7586207389831543,0.4597701132297516,0.1469150334596634,0.6580417156219482,0.5038714408874512,0.21024034917354584,5.571093559265137,-5.529617786407471,0.5303964018821716,0.5075119733810425,0.21134696900844574,6.5663981437683105,-4.722348690032959,0.6272282600402832,0.4559951424598694,0.16065678000450134,5.701169013977051,-7.111786365509033
