,controller config,fot safety,fot comfort,fot mean comfort,PR safety,PR comfort,PR mean comfort,PR euclidean,PR dtw
18,20.0,0.7126436233520508,0.5517241358757019,0.16065530478954315,0.3435063771111463,0.14701502082841622,0.03876725354035218,3.622376670638332,-8.68111264791092
19,20.0,0.5977011919021606,0.6666666865348816,0.18470075726509094,0.4767024464591788,0.16804063879321346,0.04117819206309645,3.566874410923131,-9.212944340912749
20,30.0,0.6896551847457886,0.8965517282485962,0.18390804529190063,0.6208984232672721,0.31111260814258096,0.06859593396875288,4.448840166332108,-7.741227796273499
21,30.0,0.8735631704330444,0.7126436233520508,0.17730215191841125,0.5268947639984767,0.23310206188207394,0.05873136424344232,5.33820863503475,-7.027891828044095
22,30.0,0.8045977354049683,0.5517241358757019,0.15299247205257416,0.5789972043639764,0.2422682509883632,0.0609099617765587,6.2077428152398095,-6.747313115328687
23,30.0,0.7816091775894165,0.6206896305084229,0.16065531969070435,0.5450390013355195,0.2125633342860317,0.0603866708247265,4.028168077343516,-7.398733725197312
24,30.0,0.7126436233520508,0.5977010726928711,0.16250495612621307,0.5329899660767794,0.2353043942660542,0.06140176264981512,4.68513947372703,-7.982447372194353
25,30.0,0.7356321811676025,0.6436781883239746,0.14347997307777405,0.711503710719201,0.4338100862502067,0.06775357200599869,5.20037018481038,-5.284968612822777
26,30.0,0.7816091775894165,0.6666666269302368,0.14612235128879547,0.5969831872414415,0.38004708141131005,0.0640091233214431,3.271170706839095,-9.833491703187924
27,30.0,0.7356321811676025,0.48275864124298096,0.14215880632400513,0.5150177306004211,0.30378656719824537,0.06193544612430982,5.385893287880155,-4.537947187064158
28,30.0,0.6896551847457886,0.4597700834274292,0.14295151829719543,0.5590030478051897,0.22631482625947374,0.05909124756487933,4.771635644120074,-7.3780406069182884
29,30.0,0.8735631704330444,0.8505746126174927,0.17915180325508118,0.5332588182310232,0.2510504066753938,0.06078255272142375,5.836471030604256,-4.6907151247735275
30,40.0,0.7586207389831543,0.4597701132297516,0.1469150334596634,0.835993295047291,0.3574619041931189,0.08949816750289606,7.719535899351418,-5.217533054276164
31,40.0,0.9425287246704102,0.8275861740112305,0.15114282071590424,0.74206150912342,0.34164652407274926,0.08788412378246667,5.696587056579014,-4.467016631187543
32,40.0,0.8275861740112305,0.7816092371940613,0.16197650134563446,0.7088958237459699,0.3424428911385723,0.09098399024842306,7.851809284990345,-3.6438325123206146
33,40.0,0.8965517282485962,0.8505748510360718,0.18285110592842102,0.8074041407669091,0.3259022096036476,0.08585900872379713,4.578452408911823,-6.688946777104495
34,40.0,0.8505747318267822,0.666666567325592,0.1730743944644928,0.7663621195561304,0.5150608979775553,0.10208476247959643,6.977890357142688,-2.680413400847723
35,40.0,0.8275861740112305,0.7816091179847717,0.1897212266921997,0.7671279214757638,0.32410286032271807,0.09903430671324373,6.469236917598972,-5.457251219042464
36,40.0,0.8045977354049683,0.7356321811676025,0.16858237981796265,0.8204279055821442,0.4774840163706746,0.0971655329283755,6.831735810902027,-7.084546648677916
37,40.0,0.8045977354049683,0.7816091775894165,0.17915180325508118,0.8678601464637083,0.4985100111018703,0.09166935341138895,4.705025174018728,-7.288511579706199
38,40.0,0.8505747318267822,0.5517241358757019,0.156691774725914,0.774674332462886,0.40520964246240754,0.09960686366801606,5.089529693600741,-5.397818738603247
39,40.0,0.8965517282485962,0.7586207389831543,0.18707886338233948,0.80761872942909,0.48028160328603925,0.1005248026726449,4.0572011021083165,-4.871853616388584
40,50.0,0.9425287246704102,1.1034483909606934,0.22644998133182526,0.9212028885477316,0.7268531052472593,0.15289430409513943,3.5566639898388464,-5.894667202677589
41,50.0,0.8275861740112305,0.7356321811676025,0.17941604554653168,1.1724137931034482,0.9387867380573377,0.15718863667905428,8.225753645439857,-2.8777080497364858
42,50.0,0.9425287246704102,1.5402300357818604,0.23913328349590302,0.8275862068965518,0.4062626670175147,0.11521971702710901,5.701812264341506,-5.931708615327083
43,50.0,0.8045977354049683,1.0114941596984863,0.21006734669208527,0.9074435125716798,0.71749582608667,0.14795401862750204,7.337692527404552,-6.144752460527341
44,50.0,0.8505747318267822,0.9655171632766724,0.20266877114772797,1.1724137931034482,0.982698830381091,0.16175297096455138,2.451824514911496,-7.157439565502096
45,50.0,0.8275861740112305,0.919540286064148,0.20980314910411835,0.9156646774405252,0.7299426480618547,0.13921184930978533,7.6344998391417995,-4.3274421230326805
46,50.0,0.8275861740112305,1.6781609058380127,0.25208085775375366,0.9788327959518726,0.6633726620325382,0.14641307448941746,6.948345651148436,2.6098322601502026
47,50.0,0.8275861740112305,1.1724138259887695,0.20901043713092804,0.9801141797018447,0.7745883761317103,0.15281016960272317,7.455428148848775,-6.09481177944168
48,50.0,0.8045977354049683,0.5977013111114502,0.18390804529190063,0.8275862068965518,0.31390022940924145,0.10863423951699334,4.13110828002573,-8.789522537685679
49,50.0,0.8505747318267822,1.0114943981170654,0.19421322643756866,1.0428099217297389,0.7553680568182737,0.1393105982609081,2.5435605718082517,-7.3766629670037815
