,controller config,fot safety,fot comfort,fot mean comfort,BC_det best_loss safety,BC_det best_loss comfort,BC_det best_loss mean comfort,BC_det best_loss euclidean,BC_det best_loss dtw,BC_det best_eucl safety,BC_det best_eucl comfort,BC_det best_eucl mean comfort,BC_det best_eucl euclidean,BC_det best_eucl dtw,BC_det best_dtw safety,BC_det best_dtw comfort,BC_det best_dtw mean comfort,BC_det best_dtw euclidean,BC_det best_dtw dtw
10,0.8999999761581421,0.13049036264419556,0.41961610317230225,0.01496032252907753,0.11029893159866333,0.011736392974853516,0.00028981437208130956,0.6220107674598694,-33.365699768066406,0.18163979053497314,0.012545287609100342,0.0003269588341936469,0.67319256067276,-33.24641799926758,0.1081656813621521,0.008551359176635742,0.000300463754683733,0.5475784540176392,-33.48946762084961
11,0.8999999761581421,0.13049036264419556,0.037526726722717285,0.004902886226773262,0.11029893159866333,0.0038154125213623047,0.0001883220102172345,0.5695116519927979,-33.461509704589844,0.18163979053497314,0.005117535591125488,0.00029541851836256683,0.5718541741371155,-33.4241828918457,0.10818922519683838,0.0044626593589782715,0.0002420339296804741,0.4720609188079834,-33.61182403564453
12,0.8999999761581421,0.13049036264419556,0.05543696880340576,0.0060493736527860165,0.11029893159866333,0.036873042583465576,0.0013107646955177188,0.5504913330078125,-33.49021911621094,0.1816440224647522,0.030085504055023193,0.0011208367068320513,0.5697405338287354,-33.427101135253906,0.10816597938537598,0.032167792320251465,0.0011022643884643912,0.453510046005249,-33.6358642578125
13,0.8999999761581421,0.12025582790374756,0.6422175168991089,0.018763329833745956,0.11029893159866333,0.004566550254821777,0.00020541030971799046,0.7580451965332031,-33.12812042236328,0.18163979053497314,0.005841851234436035,0.00026200214051641524,0.8286128640174866,-32.99636459350586,0.10816597938537598,0.0054686665534973145,0.00024302832025568932,0.7089503407478333,-33.246803283691406
14,0.8999999761581421,0.1270788311958313,0.037526488304138184,0.005681193899363279,0.11029893159866333,0.004794657230377197,0.0002474169305060059,0.5554331541061401,-33.487430572509766,0.18163979053497314,0.006201386451721191,0.00020085755386389792,0.5746302008628845,-33.42927551269531,0.1081656813621521,0.0018764138221740723,0.00016798607248347253,0.4612741470336914,-33.632469177246094
15,0.8999999761581421,0.1270788311958313,0.051172733306884766,0.006422222591936588,0.11029893159866333,0.0022904276847839355,0.00016185380809474736,0.5614422559738159,-33.474815368652344,0.1816440224647522,0.0028837919235229492,0.0002331199502805248,0.5728272199630737,-33.42191696166992,0.10819143056869507,0.0033350884914398193,0.00021319848019629717,0.4643828272819519,-33.62065124511719
16,0.8999999761581421,0.13049036264419556,0.06226015090942383,0.006753116380423307,0.11029893159866333,0.017929017543792725,0.0008029348100535572,0.5397176146507263,-33.521278381347656,0.1816440224647522,0.015073120594024658,0.0006217760965228081,0.6247648596763611,-33.41259002685547,0.10816597938537598,0.017810404300689697,0.0008276251028291881,0.47888419032096863,-33.638614654541016
17,0.8999999761581421,0.13049036264419556,0.03923237323760986,0.0049028885550796986,0.11029893159866333,0.010825276374816895,0.00048300117487087846,0.5652299523353577,-33.46882247924805,0.1816440224647522,0.010433375835418701,0.0003817045653704554,0.5986789464950562,-33.419925689697266,0.1081656813621521,0.01017749309539795,0.0004657559038605541,0.48797017335891724,-33.605438232421875
18,0.8999999761581421,0.1270788311958313,0.05799567699432373,0.006785742938518524,0.11029893159866333,0.004881620407104492,0.0002099819394061342,0.5587713718414307,-33.47739791870117,0.1816304326057434,0.005608916282653809,0.00025045088841579854,0.5777037143707275,-33.42451858520508,0.10819876194000244,0.002722442150115967,0.00022996871848590672,0.4675593078136444,-33.61935043334961
19,0.8999999761581421,0.13049036264419556,0.05799567699432373,0.0061612376011908054,0.11029893159866333,0.017053425312042236,0.0005500827683135867,0.5435153841972351,-33.50326919555664,0.1816440224647522,0.017231464385986328,0.0006139109027571976,0.6223180294036865,-33.3956413269043,0.1081656813621521,0.022196948528289795,0.0007186916191130877,0.4764867126941681,-33.62618637084961
20,1.2000000476837158,0.08699357509613037,0.20042651891708374,0.009665957652032375,0.09679597616195679,0.004256129264831543,0.00022792066738475114,0.35987919569015503,-33.79912185668945,0.10444533824920654,0.006651401519775391,0.0003825667081400752,0.24464952945709229,-33.85417938232422,0.09412479400634766,0.004909634590148926,0.00018817999807652086,0.28760936856269836,-33.8249397277832
21,1.2000000476837158,0.08784645795822144,0.058848559856414795,0.006226484663784504,0.09679597616195679,0.004442095756530762,0.0002195326960645616,0.25601717829704285,-33.864234924316406,0.10444533824920654,0.00418168306350708,0.00023139402037486434,0.16583870351314545,-33.9112434387207,0.09412479400634766,0.0025824904441833496,0.0001283678866457194,0.22482900321483612,-33.87632751464844
22,1.2000000476837158,0.0886993408203125,0.07164180278778076,0.006464172620326281,0.09679597616195679,0.01007080078125,0.00037951741251163185,0.293399453163147,-33.84540939331055,0.10441499948501587,0.00869208574295044,0.00042774766916409135,0.15155982971191406,-33.902896881103516,0.09412288665771484,0.0064018964767456055,0.000285152840660885,0.2236866056919098,-33.86703872680664
23,1.2000000476837158,0.08784645795822144,0.11002123355865479,0.009116016328334808,0.09679597616195679,0.00662386417388916,0.00034553854493424296,0.3112489581108093,-33.82313537597656,0.10441499948501587,0.008299529552459717,0.0005173409590497613,0.20723146200180054,-33.87854766845703,0.09412479400634766,0.007351100444793701,0.00034873862750828266,0.2579556703567505,-33.84444046020508
