,controller config,fot safety,fot comfort,fot mean comfort,GAIL_det_ppo best_loss safety,GAIL_det_ppo best_loss comfort,GAIL_det_ppo best_loss mean comfort,GAIL_det_ppo best_eucl safety,GAIL_det_ppo best_eucl comfort,GAIL_det_ppo best_eucl mean comfort,GAIL_det_ppo best_dtw safety,GAIL_det_ppo best_dtw comfort,GAIL_det_ppo best_dtw mean comfort
20,30.0,0.8275861740112305,0.5517240762710571,0.13370327651500702,0.5145779848098755,0.29526251554489136,0.0961875468492508,0.3931666910648346,0.34166187047958374,0.0819539874792099,0.5145779848098755,0.29526251554489136,0.0961875468492508
21,30.0,0.6896551847457886,0.48275867104530334,0.12815432250499725,0.5275987386703491,0.2884574830532074,0.09498602896928787,0.4228542745113373,0.2985982298851013,0.10543152689933777,0.5275987386703491,0.2884574830532074,0.09498602896928787
22,30.0,0.7356321811676025,0.9195401072502136,0.15087857842445374,0.5333200693130493,0.2855522036552429,0.09612865000963211,0.42090025544166565,0.29858821630477905,0.10648705810308456,0.5333200693130493,0.2855522036552429,0.09612865000963211
23,30.0,0.7126436233520508,0.5287356376647949,0.13502445816993713,0.521696150302887,0.29526567459106445,0.0969199687242508,0.3884889781475067,0.2990730404853821,0.10527277737855911,0.521696150302887,0.29526567459106445,0.0969199687242508
24,30.0,0.9885057210922241,0.7586207389831543,0.18364381790161133,0.5145468711853027,0.29526472091674805,0.09460935741662979,0.40601709485054016,0.2985778748989105,0.10692131519317627,0.5145468711853027,0.29526472091674805,0.09460935741662979
25,30.0,0.7586207389831543,0.5747126936912537,0.14400845766067505,0.515407919883728,0.29526251554489136,0.0964999571442604,0.3902527391910553,0.298554390668869,0.10385938733816147,0.515407919883728,0.29526251554489136,0.0964999571442604
26,30.0,0.8275861740112305,0.6206897497177124,0.16831813752651215,0.5417095422744751,0.33829784393310547,0.10639604181051254,0.38177189230918884,0.298553466796875,0.10784988850355148,0.5417095422744751,0.33829784393310547,0.10639604181051254
27,30.0,0.7586207389831543,0.5517241954803467,0.14189457893371582,0.5205017328262329,0.2952502369880676,0.10181806236505508,0.3576466143131256,0.298553466796875,0.10694168508052826,0.5205017328262329,0.2952502369880676,0.10181806236505508
28,30.0,0.8275861740112305,0.8505748510360718,0.16884660720825195,0.5341100692749023,0.29541218280792236,0.1003146544098854,0.41961541771888733,0.3196834325790405,0.08067116886377335,0.5341100692749023,0.29541218280792236,0.1003146544098854
29,30.0,0.7126436233520508,0.48275870084762573,0.13793103396892548,0.5145257711410522,0.2751697897911072,0.0933527871966362,0.42908963561058044,0.2986113429069519,0.10526363551616669,0.5145257711410522,0.2751697897911072,0.0933527871966362
30,40.0,0.919540286064148,0.7126436233520508,0.19474169611930847,0.5774746537208557,0.30879974365234375,0.1001344546675682,0.455953985452652,0.2856190800666809,0.11813990026712418,0.5774746537208557,0.30879974365234375,0.1001344546675682
31,40.0,0.8275861740112305,0.873563289642334,0.15061436593532562,0.5550605058670044,0.3086492419242859,0.09755228459835052,0.4879397451877594,0.30057308077812195,0.1220247894525528,0.5550605058670044,0.3086492419242859,0.09755228459835052
32,40.0,0.8045977354049683,0.48275870084762573,0.14955739676952362,0.5529574155807495,0.30875760316848755,0.09750773012638092,0.4598003923892975,0.2866124212741852,0.11751977354288101,0.5529574155807495,0.30875760316848755,0.09750773012638092
33,40.0,0.8045977354049683,0.6436781287193298,0.13528867065906525,0.5428510308265686,0.3087673485279083,0.0987284779548645,0.4573919475078583,0.2856409549713135,0.11819886416196823,0.5428510308265686,0.3087673485279083,0.0987284779548645
34,40.0,0.7816091775894165,0.8505746722221375,0.1482362449169159,0.6069744825363159,0.3087329566478729,0.09854579716920853,0.4683831036090851,0.285343736410141,0.11761284619569778,0.6069744825363159,0.3087329566478729,0.09854579716920853
35,40.0,0.8965517282485962,1.2413792610168457,0.20980313420295715,0.5776428580284119,0.30870604515075684,0.09875163435935974,0.45146968960762024,0.39975088834762573,0.1224958673119545,0.5776428580284119,0.30870604515075684,0.09875163435935974
36,40.0,0.8505747318267822,0.5747126340866089,0.17915180325508118,0.5428500175476074,0.30879974365234375,0.09638040512800217,0.4588986933231354,0.2856285572052002,0.11961079388856888,0.5428500175476074,0.30879974365234375,0.09638040512800217
37,40.0,0.8505747318267822,1.2413793802261353,0.19421322643756866,0.5693228840827942,0.30886971950531006,0.10183016210794449,0.44824549555778503,0.2940453886985779,0.1209673285484314,0.5693228840827942,0.30886971950531006,0.10183016210794449
38,40.0,0.8965517282485962,0.6206895709037781,0.17386707663536072,0.5428510308265686,0.30876749753952026,0.09766427427530289,0.445020467042923,0.2870384454727173,0.11980003863573074,0.5428510308265686,0.30876749753952026,0.09766427427530289
39,40.0,0.8505747318267822,0.5747127532958984,0.15801294147968292,0.553883969783783,0.3088032007217407,0.09670575708150864,0.46708443760871887,0.2968500852584839,0.11811182647943497,0.553883969783783,0.3088032007217407,0.09670575708150864
40,50.0,1.1724138259887695,2.1379308700561523,0.32685956358909607,0.6117185354232788,0.36267510056495667,0.11716549098491669,0.5047526359558105,0.34316420555114746,0.13420052826404572,0.6117185354232788,0.36267510056495667,0.11716549098491669
41,50.0,0.8735631704330444,1.5172414779663086,0.21588055789470673,0.5985455513000488,0.4509924054145813,0.11791285127401352,0.5470218658447266,0.32088029384613037,0.1297711730003357,0.5985455513000488,0.4509924054145813,0.11791285127401352
42,50.0,0.9425287246704102,1.2413794994354248,0.2726912498474121,0.5998870134353638,0.3947198987007141,0.11509378999471664,0.5214214324951172,0.3208616375923157,0.12905822694301605,0.5998870134353638,0.3947198987007141,0.11509378999471664
43,50.0,0.8505747318267822,1.1954023838043213,0.19394898414611816,0.5787774324417114,0.36267510056495667,0.11591234803199768,0.5179736614227295,0.3222815692424774,0.13052596151828766,0.5787774324417114,0.36267510056495667,0.11591234803199768
44,50.0,0.8275861740112305,0.8965516686439514,0.18602190911769867,0.5787308812141418,0.3626708686351776,0.11218899488449097,0.5046731233596802,0.32242095470428467,0.1299806833267212,0.5787308812141418,0.3626708686351776,0.11218899488449097
45,50.0,0.8045977354049683,0.9885057210922241,0.20002640783786774,0.6266292333602905,0.38558027148246765,0.11452116817235947,0.5203045606613159,0.434905469417572,0.1331801861524582,0.6266292333602905,0.38558027148246765,0.11452116817235947
46,50.0,0.9425287246704102,1.034482717514038,0.24256837368011475,0.5787222385406494,0.3626708686351776,0.11205043643712997,0.50529944896698,0.3248673975467682,0.13018500804901123,0.5787222385406494,0.3626708686351776,0.11205043643712997
47,50.0,0.8045977354049683,1.0574711561203003,0.21852292120456696,0.5787769556045532,0.362667053937912,0.11532720178365707,0.5220538377761841,0.32109713554382324,0.12997205555438995,0.5787769556045532,0.362667053937912,0.11532720178365707
48,50.0,0.9885057210922241,1.034482717514038,0.2388690561056137,0.578788161277771,0.362667053937912,0.11334602534770966,0.5152029991149902,0.3211413621902466,0.13182412087917328,0.578788161277771,0.362667053937912,0.11334602534770966
49,50.0,0.8735631704330444,0.7586206197738647,0.19077816605567932,0.5793366432189941,0.36267396807670593,0.11361021548509598,0.5164229869842529,0.3394668698310852,0.12947803735733032,0.5793366432189941,0.36267396807670593,0.11361021548509598
