,controller config,fot safety,fot comfort,fot mean comfort,BCxGAIL_det_ppo best_loss safety,BCxGAIL_det_ppo best_loss comfort,BCxGAIL_det_ppo best_loss mean comfort,BCxGAIL_det_ppo best_eucl safety,BCxGAIL_det_ppo best_eucl comfort,BCxGAIL_det_ppo best_eucl mean comfort,BCxGAIL_det_ppo best_dtw safety,BCxGAIL_det_ppo best_dtw comfort,BCxGAIL_det_ppo best_dtw mean comfort
10,20.0,0.5287356376647949,0.4597700834274292,0.14400845766067505,0.4465649724006653,0.3159901797771454,0.0832010954618454,0.45861536264419556,0.3695254325866699,0.09383504837751389,0.4166378974914551,0.25046470761299133,0.06950504332780838
11,20.0,0.6206896305084229,0.5747126340866089,0.16171224415302277,0.5374866724014282,0.3838704824447632,0.09364209324121475,0.5203648805618286,0.3755419850349426,0.09325610846281052,0.5295379161834717,0.2546490430831909,0.06979238986968994
12,20.0,0.5517241358757019,0.5977011322975159,0.12577620148658752,0.5119065046310425,0.43982183933258057,0.09703527390956879,0.538870096206665,0.3870939314365387,0.09134553372859955,0.5254632234573364,0.4434683620929718,0.08473117649555206
13,20.0,0.6206896305084229,0.4367816746234894,0.1479719877243042,0.47990289330482483,0.3834788203239441,0.08819738775491714,0.46923258900642395,0.20114481449127197,0.0781339630484581,0.46301987767219543,0.19199775159358978,0.06811105459928513
14,20.0,0.6206896305084229,0.41379314661026,0.12234113365411758,0.46982839703559875,0.3849911689758301,0.09207087755203247,0.45132365822792053,0.42063674330711365,0.09167662262916565,0.44083884358406067,0.3391224443912506,0.07404185831546783
15,20.0,0.5747126340866089,0.48275864124298096,0.1323820799589157,0.4795093834400177,0.43962883949279785,0.09814045578241348,0.4596959948539734,0.3687429428100586,0.0965345948934555,0.4341188967227936,0.40721815824508667,0.08130976557731628
16,20.0,0.7586207389831543,0.5977011919021606,0.16197648644447327,0.46895912289619446,0.3480939269065857,0.07729067653417587,0.48162245750427246,0.38290005922317505,0.09026922285556793,0.4652571976184845,0.30739039182662964,0.0703398585319519
17,20.0,0.5517241358757019,0.5747126340866089,0.17016778886318207,0.4594210088253021,0.2001200169324875,0.07662505656480789,0.45108556747436523,0.38652026653289795,0.09022128582000732,0.41349682211875916,0.17081445455551147,0.06914975494146347
18,20.0,0.6666666269302368,0.5977011919021606,0.15087857842445374,0.4858039915561676,0.3839568495750427,0.08623406291007996,0.4771781265735626,0.37481188774108887,0.09401623159646988,0.47079887986183167,0.44777509570121765,0.09026357531547546
19,20.0,0.6666666269302368,0.48275864124298096,0.17043201625347137,0.4691154658794403,0.3833959102630615,0.09121338278055191,0.4483037292957306,0.17944015562534332,0.07113490998744965,0.43028101325035095,0.40113168954849243,0.08475547283887863
20,30.0,0.8275861740112305,0.5517240762710571,0.13370327651500702,0.6728115081787109,0.3814305365085602,0.10355006903409958,0.6721615791320801,0.430169939994812,0.10234862565994263,0.6878266334533691,0.46442168951034546,0.10537314414978027
21,30.0,0.6896551847457886,0.48275867104530334,0.12815432250499725,0.6874501705169678,0.3075641393661499,0.09261414408683777,0.6963506937026978,0.38096535205841064,0.08043710142374039,0.704383134841919,0.33222511410713196,0.10596505552530289
