,controller config,fot safety,fot comfort,fot mean comfort,BC_nondet best_loss safety,BC_nondet best_loss comfort,BC_nondet best_loss mean comfort,BC_nondet best_eucl safety,BC_nondet best_eucl comfort,BC_nondet best_eucl mean comfort,BC_nondet best_dtw safety,BC_nondet best_dtw comfort,BC_nondet best_dtw mean comfort
32,40.0,0.8045977354049683,0.48275870084762573,0.14955739676952362,0.7672891616821289,0.7951674461364746,0.24807599186897278,0.7871391773223877,1.1393189430236816,0.28516820073127747,0.847435712814331,1.0487349033355713,0.30588579177856445
33,40.0,0.8045977354049683,0.6436781287193298,0.13528867065906525,0.852043628692627,1.4209270477294922,0.3309369683265686,0.9024945497512817,0.9260372519493103,0.2951887845993042,0.8857007026672363,1.3023734092712402,0.30485066771507263
34,40.0,0.7816091775894165,0.8505746722221375,0.1482362449169159,0.9100899696350098,0.9520759582519531,0.25189176201820374,0.8478981256484985,0.9937821626663208,0.29524490237236023,0.826235294342041,1.9200977087020874,0.3350487947463989
35,40.0,0.8965517282485962,1.2413792610168457,0.20980313420295715,0.8153281211853027,1.1072882413864136,0.2714478373527527,0.8647191524505615,1.825305700302124,0.34060126543045044,1.1595405340194702,1.2342729568481445,0.2842554450035095
36,40.0,0.8505747318267822,0.5747126340866089,0.17915180325508118,0.8453259468078613,1.4687645435333252,0.36579927802085876,0.9302123785018921,0.8960552215576172,0.29110416769981384,0.8401737213134766,0.8806319236755371,0.28801169991493225
37,40.0,0.8505747318267822,1.2413793802261353,0.19421322643756866,0.9518610239028931,1.8064275979995728,0.27642539143562317,1.0384893417358398,0.8080651760101318,0.20613069832324982,0.9638282060623169,1.6991163492202759,0.26196566224098206
38,40.0,0.8965517282485962,0.6206895709037781,0.17386707663536072,0.8082273006439209,1.1474052667617798,0.2499111145734787,0.8293306827545166,1.075035572052002,0.2590368092060089,0.8166751861572266,1.4602994918823242,0.28170424699783325
39,40.0,0.8505747318267822,0.5747127532958984,0.15801294147968292,0.8515512943267822,1.322303295135498,0.27693912386894226,0.7915662527084351,1.4632561206817627,0.28840354084968567,0.9276703596115112,1.2594832181930542,0.28277909755706787
40,50.0,1.1724138259887695,2.1379308700561523,0.32685956358909607,0.8692927360534668,1.0673940181732178,0.2588915526866913,0.8671714067459106,1.8041082620620728,0.35179585218429565,0.8528335094451904,1.5126192569732666,0.32619795203208923
41,50.0,0.8735631704330444,1.5172414779663086,0.21588055789470673,0.9228430986404419,1.6841189861297607,0.3203522861003876,0.9493098258972168,1.9259581565856934,0.3960016965866089,1.0103232860565186,1.4480353593826294,0.31083619594573975
