,controller config,fot safety,fot comfort,fot mean comfort,RF safety,RF comfort,RF mean comfort,RF euclidean,RF dtw
27,1.2000000476837158,0.09211081266403198,0.0324094295501709,0.00590490410104394,0.10279742724478613,0.02869936466217049,0.0024279926616854815,0.25708008398565724,-33.89412199328175
28,1.2000000476837158,0.10234540700912476,0.08869940042495728,0.0073450119234621525,0.10279742724478613,0.017449898123741203,0.0019488427488096338,0.2884728584647668,-33.88850234006342
29,1.2000000476837158,0.09211081266403198,0.04605543613433838,0.005965495947748423,0.10279742724478613,0.023343290090560798,0.002159919201893476,0.20546709226674256,-33.908043267206374
30,1.5,0.03667372465133667,0.11002117395401001,0.012779188342392445,0.11415777689993756,0.02621749222278602,0.0016825014238800384,0.46681870708105266,-33.604128345146975
31,1.5,0.03155648708343506,0.15181231498718262,0.011823778972029686,0.11415777689993756,0.025970143079757424,0.0018108052959858994,0.4971720525943148,-33.57974210460281
32,1.5,0.0486140251159668,0.11769723892211914,0.01996574178338051,0.11415777689993756,0.027786791324615256,0.0017545542397785587,0.51713055635302,-33.58962128883273
33,1.5,0.05543708801269531,0.0682302713394165,0.007568717002868652,0.11415777689993756,0.023258008956908993,0.0018666391375937656,0.5049072843774303,-33.60308969849606
34,1.5,0.07505327463150024,0.059701502323150635,0.006683206185698509,0.11415777689993756,0.023923273086547847,0.0017246783626535497,0.4896119022264152,-33.63808958751001
35,1.5,0.07590615749359131,0.14157789945602417,0.008137299679219723,0.11415777689993756,0.028366748094558525,0.001702169842733049,0.46187462348797553,-33.639812787787115
36,1.5,0.07590615749359131,0.04179102182388306,0.00636628782376647,0.11415777689993756,0.02559488713741298,0.0018944631231938515,0.476176880785356,-33.64944263833237
37,1.5,0.07590615749359131,0.13134321570396423,0.006063359323889017,0.11415777689993756,0.024776134490966606,0.002101670643670953,0.45670771591788933,-33.60803845644049
38,1.5,0.07590615749359131,0.036673784255981445,0.005201163236051798,0.11415777689993756,0.0193432766199112,0.0017549264154147475,0.4779854754260214,-33.64524630009831
39,1.5,0.07505327463150024,0.10746264457702637,0.007564045954495668,0.11415777689993756,0.017978685498237668,0.0018404470441119771,0.46178935207704913,-33.61499151995023
40,1.7999999523162842,0.03155648708343506,0.12110871076583862,0.02037120796740055,0.11271641499579321,0.01968443453311941,0.001556948317530388,0.6084007124438855,-33.141622207246144
41,1.7999999523162842,0.02388054132461548,0.11769729852676392,0.018833233043551445,0.11271641499579321,0.03969299793243419,0.0017452788352966327,0.680423585229107,-33.326089666802055
42,1.7999999523162842,0.02388054132461548,0.6831557154655457,0.038421470671892166,0.11271641499579321,0.0353603470325472,0.0019818960985199326,0.9690078739802863,-32.612647654754284
43,1.7999999523162842,0.024733424186706543,0.13304901123046875,0.025008445605635643,0.11271641499579321,0.04017060101032255,0.0019298382909571682,0.7216855553853856,-33.24211993643765
44,1.7999999523162842,0.028997838497161865,0.1492537260055542,0.0211215540766716,0.11271641499579321,0.021381676197052113,0.0016084471361233334,0.6479250596670469,-33.28663720723624
45,1.7999999523162842,0.030703604221343994,0.12110865116119385,0.020170805975794792,0.11271641499579321,0.035505363941192525,0.0018080112386922378,0.6425308622520238,-33.31942180904989
46,1.7999999523162842,0.023027658462524414,0.1287846565246582,0.023134905844926834,0.11271641499579321,0.037458440065384124,0.0016512310032636098,0.6397597222899092,-33.340028831403295
47,1.7999999523162842,0.02985072135925293,0.11599135398864746,0.022780705243349075,0.11271641499579321,0.02088698923587795,0.001578712010644165,0.6550741666842168,-33.305824001737264
48,1.7999999523162842,0.02388054132461548,0.11684423685073853,0.026485828682780266,0.10973986632407084,0.03284436106681832,0.0014902559362473954,0.6903178359758139,-33.33334234163578
49,1.7999999523162842,0.02985072135925293,0.13987207412719727,0.024262763559818268,0.11271641499579321,0.03316845595836648,0.001636083801913128,0.6145936107508913,-33.31956212631178
